Kenny Peers	5203		63	65581
Clark Vasey	4704		52	65581
Luke Evans	4158		52	65931
Lee Dargue	4821	leedargue	90	65931
Graham Short	4855		85	65931
Ted Woodley	5442	TUSCted	804	65667
Robert Alden	3958		52	65667
James Bird	5369	James_Bird_	52	65597
Rashpal Mondair	5391		85	65597
Jerry Evans	3015		90	65597
Kieran Mullan	4159	kieranmullanuk	52	66072
Isabel Sigmac	4160	IsabelSigmac	52	65989
Clair Braund	4856		85	65989
Steve Haynes	5360	centreradical	90	65966
Rachel Maclean	4161	rachelmaclean3	52	65966
Keith Rowe	4854	KeithRoweUKIP	85	65966
Charlotte Hodivala	5083	ch4pb	52	66028
Colin Green	4481	ColinGreenLD	90	65804
Alex Boulter	4604	alex_boulter	52	65804
Steven Brookes	4605	stevenjbrookes	85	65804
Jess Phillips	4268	jessphillips	53	65707
John Hemming	3373		90	65707
Thom Robinson	4624	robinsonthom	63	65820
Kate Hollern	4269	CllrKate	53	65981
Dayle Taylor	4999	dayle_taylor	85	65981
Richard Gadsden	2946	po8crg	90	65583
Sue Close	5429		90	65750
John Warnock	5204		63	65750
Sam Rushworth	4270	SamJRushworth	53	65750
Bill Greene	3976		90	65679
Peter Wood	4817		85	65679
Peter Anthony	4162		52	65679
Joseph Champion	4655		63	66093
Steffan Lewis	2375	steffanlewis	77	66093
Jonathan Wallace	4602		90	65805
Paul McNally	5443		63	65805
Barry Elliott	4568		85	65753
Alan Butcher	4271		53	65841
Francis Oppler	4482	francisoppler	90	65841
Graham Jones	5237		85	65841
Peter Bedford	5049	PeterABedford	52	65628
Ray Calladine	3171		85	65628
James Daly	4163	cllrjamesdaly	52	65646
David Crausby	919		53	65646
Harry Lamb	5320		85	65646
Steve Rock	5430		90	65646
Yasmin Qureshi	662		53	65712
Chris Green	4164	chris11green	52	65738
Julie Hilling	663		53	65738
Andy Martin	5431		90	65738
Bob Horsfield	5321		85	65738
Peter Dowd	5191		53	65821
Robin Hunter-Clarke	4710	cllrrobinhc	85	65969
Lyn Luxton	4782	lynluxton4mp	733	65969
Paul Kenny	391	paul_r_kenny	53	65969
Matt Warman	5455		52	65969
David Sprason	4992	ruraloutback	85	66071
David Tredinnick	385		52	66071
Michael Mullaney	388	miketmullaney	90	66071
Chris Kealey	4773	bosworth_rose	53	66071
David Hughes	2432		85	65993
Tobias Ellwood	384		52	65993
Jon Nicholas	5399		90	65993
Peter Stokes	5132		53	65993
David Stokes	382	dave4bmthwest	53	65933
Mike Plummer	5400		90	65933
Conor Burns	2433	Conor_BurnsMP	52	65933
Dick Franklin	5111		1969	65933
Martin Houlden	5307	martinhoulden	85	65933
James Walsh	4272		53	65697
Derek Florey	5098	derek_florey	63	65697
Owais Rajput	5418	OwaisRajput3	85	65694
David Ward	2061	DavidWardMP	90	65694
Imran Hussain	4825		53	65694
Tanya Graham	5301		52	65995
Jason Smith	1469	jasonsmithukip	85	65995
George Grant	4165	GeorgePBGrant	52	66036
Celia Hickson	5112		63	66036
George Galloway	4754	georgegalloway	362	66036
Harry Boota	5419	Harry_Boota	85	66036
Paul Jeater	4658	essexwomble	63	65670
Toby Pereira	5195		2	65670
Malcolm Fincken	4273	MalcolmFincken	53	65670
Chris Davies	4166		52	66088
Roger Williams	1472	RogerWilliamsLD	90	66088
Matthew Dorrance	4274	matthewdorrance	53	66088
Chris Carmichael	5265		63	66088
Freddy Greaves	4977		77	66088
Ibrahim Taguri	4483	ibrahimtaguri	90	66065
Shahrar Ali	4870	shahrarali	63	66065
Dawn Butler	1474	dawnbutlerbrent	53	66065
Alan Mendoza	5376		52	66065
Scott Bartle	4871	mapesburygreen	63	65595
Luke Parker	5124	luke_r_parker	52	65595
Daniel Goldsmith	4872		63	65958
Ruth Cadbury	4275	RuthCadbury	53	65958
David Kendall	2414		90	65685
Liam Preston	4276	lbpreston	53	65685
Meirion Jenkins	3372	meirionj	52	66095
James Radcliffe	4699	jradcliffeplaid	77	66095
Julie Harvey-Smith	5225		63	65620
Ian Liddell-Grainger	1759		52	65620
Mick Lerry	4277		53	65620
Justine Baker	4484	CllJustineBaker	90	65620
Natalie Hurst	4985		63	66000
Jacky Crawford	4278	jackycrawford	53	66000
Matt Taylor	4549	sosleader	578	65844
Ian Buchannan	4552		85	65844
Simon Kirby	900	SimonKirbyMP	52	65844
Davy Jones	4548	davyjones4ktown	63	65844
Nancy Platts	896	Nancy_Platts	53	65844
Joe Neilson	5010		2	65844
Purna Sen	4279	Purna_Sen	53	65787
Caroline Lucas	571	CarolineLucas	63	65787
Clarence Mitchell	4167		52	65787
Nigel Carter	3724	NigelCarterUKIP	85	65787
Chris Bowers	1254	chris1bowers	90	65787
Abdul Malik	4485	abdulstweets	90	65839
Theodora Clarke	4168		52	65839
Steve Norman	4726		2269	66009
Anne Lemon	5336	annelemonnut	804	66009
Darren Jones	553	darrenpjones	53	66009
Clare Campion-Smith	5018		90	66009
Charlotte Leslie	1152	CLeslieMP	52	66009
Karin Smyth	4280	karinsmyth	53	66031
Isobel Grant	5033	isogrant	52	66031
Tony Dyer	5408	tonyddyer	63	66031
Mark Wright	1155		90	66031
Jan McDonald	4727		2269	65574
Darren Hall	4554	darrenhall2015	63	65574
Stephen Williams	1491	swilliamsmp	90	65574
Claire Hiscott	4169		52	65574
Thangam Debbonaire	4281	tdebbonaire	53	65574
Keith Simpson	1807		52	65852
Cllr Steve Riley	5458		90	65852
Chris Jones	4282		53	65852
John Courtneidge	4283		53	65954
Emmett Jenner	703	Emmett_Jenner	85	65954
Bob Neill	1023	neill_bob	52	65954
Roisin Robertson	1362		63	65954
Tom Ebbutt	4284	tomebbutt	53	65617
Edward Robinson	5192		53	65639
Nick Palmer	1565	Nick4Broxtowe	53	65849
David Kirwan	4791	davegaz	63	65849
Frank Dunne	5054		85	65849
Anna Soubry	4072		52	65849
John Bercow	357		12522	65909
Gordon Birtwistle	1534	GBirtwistle_MP	90	65846
Julie Cooper	627		53	65846
Jon Wheale	4285	JonWheale	53	65708
James Frith	4286	Frith4BuryNorth	53	66015
Richard Baum	631	richardbaum	90	66015
Jo Churchill	4657		52	66035
John Howlett	3909		85	66035
David Chappell	3511	xdavidchappell	90	66035
Helen Geake	4647		63	66035
William Edwards	4287		53	66035
Katy Beddoe	4656	katybeddoe	63	66106
Sam Gould	5178	gouldsam	85	66106
Rebecca Newton	4976	becinewton	77	66106
John Erskine	4288	johnerskine	53	14406
Alisdair Calder McGregor	4894		90	65906
Paul Rogan	759		85	65906
Joshua Fenton-Glynn	4289	Joshfg	53	65906
Craig Whittaker	438		52	65906
Jenny Shepherd	4980	Jenny4MP	63	65906
Prem Goyal	5417	PremGoyal_	2137	65913
Naomi Newstead	4170		52	65913
Yahaya Kiyingi	5259	yahayakiyingi	90	65913
Harriet Harman	3885	harrietharman	53	65913
Amelia Womack	4808	amelia_womack	63	65913
Loveday Jenkin	1427		58	65826
Geoff Garbett	5410	ggarbett	63	65826
George Eustice	3888		52	65826
Robert Smith	4706	ukipcrh	85	65826
Michael Foster	4290	MichaelFosterCR	53	65826
Julia Goldsworthy	3887	jgoldsworthy	90	65826
Lisa Dolley	4783		2	65826
Daniel Zeichner	45	DanielZeichner	53	65927
Rupert Read	4556	GreenRupertRead	63	65927
Chamali Fernando	4171	whereis007	52	65927
Julian Huppert	47	JulianHuppert	90	65927
Daniel Brett	4586		2269	65927
Patrick O'Flynn	4587	oflynnmep	85	65927
Amanda Milling	4172		52	65790
Janos Toth	4291		53	65790
Jim Gascoyne	5150		85	65878
James Flanagan	5149	JamesCanterbury	90	65878
Stuart Jeffrey	4850	stuartjeffery	63	65878
Hugh Lanning	4292	Lanning4Labour	53	65878
Julian Brazier	42		52	65878
Jenny Willott	865	JennyWillott	90	66090
Martin Pollard	4975		77	66090
Jo Stevens	4293	JoStevensLabour	53	66090
Richard Hopkin	5459		52	66090
Chris von Ruhland	5330	chrisvonruhland	63	66090
Anthony Raybould	5324		85	66090
Mari Williams	4294	Mari_Williams	53	66120
Ruth Osner	5166		63	66120
Elin Walker Jones	4968	elinmwj	77	66120
Craig Williams	4173	Craig4CardiffN	52	66120
Ben Foday	4972		77	66119
Richard Huw Morgan	4728		2269	66119
Emma Warman	4857		52	66119
Anthony Slaughter	5329		63	66119
John Rees-Evans	4676		85	66119
Ken Barker	5374		63	66114
Neil McEvoy	4967		77	66114
Cadan ap Tomos	5196	CadanapTomos	90	66114
Brian Morris	5325		85	66114
Lee Sherriff	4295	MissLeeCarlisle	53	65929
Fiona Mills	5414	FionaMillsUKIP	85	65929
John Stevenson	2625		52	65929
Ben Rice	5331		63	66089
Calum Higgins	4296	calumhiggins	53	66089
Jonathan Edwards	3577		77	66089
Simon Hart	3579		52	66109
Selwyn Runnett	5175	selwynrunnett	90	66109
Delyth Evans	4297	delyth_evans	53	66109
John Atkinson	5326		85	66109
Elwyn Williams	4966		77	66109
Tom Brake	3585	thomasbrake	90	65972
Siobhan Tate	4298	siobhan4candw	53	65972
Bill Main-Ian	4938	bmainian	85	65972
Matthew Maxwell Scott	4174		52	65972
Ross Hemingway	4882		63	65972
Joe Cooke	4299	JoeCookeLabour	53	65914
Marc Hope	4930		52	14407
Veronika Tudhope	5169		63	14407
Lynne Richards	4300	lynne__richards	53	65749
Andy Williamson	4683	bigbuzzard	63	65749
Jack Abbott	4830	90jabbott	53	65748
Rhodri Griffiths	4646		63	65748
Huw Thomas	4302	huwthomas_wales	53	66110
Gethin James	4697	james_gethin	85	66110
Mark Williams	15	mark4ceredigion	90	66110
Daniel Thompson	5263		63	66110
Mike Parker	4974	mikeparkerwales	77	66110
Sean Kelly-Walsh	4303	sean4charnwood	53	65615
Lynton Yates	5294		85	65615
Tristan Osborne	4304	cllrtrisosborne	53	66075
Steve Newton	3856		85	66075
Shaun Hopkins	5306		85	65727
Martin Miller	3862		53	65727
Mary Robinson	4175		52	65727
Mark Hunter	3853		90	65727
Mark Gough	5109		85	65797
Chris Vince	4305	votevince2015	53	65797
Alex Chalk	4176	AlexChalkChelt	52	65946
Adam Van Coevorden	4609	AdamForGreenMP	63	65946
Martin Horwood	622	MartinChelt	90	65946
Richard Lupson-Darnell	4788	richardchelt15	2	65946
Gill Walker	4660		63	65801
Ben Davies	4903		53	65801
Mark Vivis	5102	markvivis	52	65980
Julia Cambridge	4487	juliacambridge1	90	65980
Jasper Richmond	5187		63	65558
Andrew Smith	4486	Andrew_RH_Smith	90	65558
Andrew Moncreiff	345		85	65558
Iain Duncan Smith	308		52	65721
Marina Pepper	4729		2269	65721
Bilal Mahmood	4306	bilal_cwg	53	65721
Andy Newman	4307		53	65940
Samantha Fletcher	3173	fletcher4Chipp	63	65940
Michelle Donelan	3938		52	65940
Duncan Hames	309	duncanhames	90	65940
Theresa Villiers	3369		52	65886
Amy Trevethan	4308		53	65886
A M Poppy	4876	GreenPartyPoppy	63	65886
Stephen Fenn	305		90	65792
Rob Loughenbury	4177		52	65792
Michael Flanagan	5291	mike4chorley	2	65792
Robin Grey	5308		85	65885
Christopher Chope	596		52	65885
Andrew Satherley	4309		53	65885
Nick Slingsby	4310		53	65759
Robert Thompson	3349		90	65734
Stephen Mosley	322	stephen_mosley	52	65734
Steve Ingram	4996		85	65734
Christian Matheson	4831	chris_matheson	53	65734
Roberta Blackman-Woods	319	robertabwmp	53	66021
Craig Martin	4488	cmartinLD	90	66021
Jonathan Elmer	4622	Jonathan_Elmer	63	66021
Rebecca Coulson	4178	rmlcoulson	52	66021
Chris Southall	268	chrisjsuk	63	66030
Tim Young	4312	Tim4Clacton	53	66030
Douglas Carswell	4665	DouglasCarswell	85	66030
Giles Watling	4179	GilesWatling	52	66030
Stephen Harness	1976		85	66057
Carol Thornton	4984		63	66057
Peter Keith	4313	MrPeterKeith	53	66057
Roy Horobin	5284	RoyHorobin	90	66057
David Nicholls	5105	DavidClwydSouth	52	66121
Mabon ap Gwynfor	4971		77	66121
Gareth Thomas	4314		53	66100
Warwick Nicholson	3619		85	66100
Marc Jones	4964	marcvjones	77	66100
Andrew Page	5461	scotlibdems	90	14408
Mark George Goacher	5001	markgoacher	63	65926
Jordan Newell	263	jordannewell	53	65926
Will Quince	1613		52	65926
Sir Bob Russell	4489		90	65926
Jason McCartney	3383	JasonMcCartney	52	65835
Paul Salveson	4669		2120	65835
Jane East	4832	labourcv	53	65835
Chas Ball	3830	chas4cv	63	65835
Darren Price	4833	DPriceLabour	53	65771
Peter Hirst	546	peterhirst9	90	65771
Tom Pursglove	4180		52	65590
Jonathan Hornett	4652		63	65590
Colleen Fletcher	4315		53	65636
Michelle Lowe	4181		52	65636
Dave Nellist	851	davenellist	804	65575
Gary Ridley	5457		52	65877
Christopher Brown	5125	chrisbrown_73	85	65781
Chris Oxlade	2165	chrisoxlade	53	65781
Richard Lee	4922	CllrRichardLee	85	65572
Edward Timpson	1104		52	65572
Roy Wood	1102		90	65572
Adrian Heald	938		53	65572
Esther Sutton	4615		63	65603
Peter Staveley	4879	UKIPCroydonCent	85	65603
Gavin Barwell	4881	GavinBarwellMP	52	65603
Sarah Jones	4316	LabourSJ	53	65603
James Robert Fearnley	4490	jrfearnley	90	65603
Vidhi Mohan	4866	MohanVidhi	52	65867
Glen Hart	5333		804	65867
Winston McKenzie	4666	winstonmck	85	65867
Shasha Khan	4614	greenknight2010	63	65867
Steve Reed	5372	SteveReedMP	53	65867
Jon Bigger	4730	campaignbeard	2269	65923
Chris Philp	513		52	65923
Gill Hickson	5413	GhillyFlower	90	65923
Peter Underwood	4616		63	65923
Emily Benn	711		53	65923
Kathleen Garner	4939		85	65923
Stuart McDonald	5172		102	14409
Gregg McClymont	278		53	14409
Ann Clwyd	1866	AnnClwyd	53	66105
Cerith Griffiths	4973		77	66105
Kate Simpson	4885		63	65985
Peter Harris	4940		85	65985
Peter Cuthbertson	4781	pmcuthbertson	52	65802
Jenny Chapman	2001	JennyChapman	53	65802
Simon Thomson	4317		53	66011
Elizabeth Jones	5253		85	66011
Chris Heaton-Harris	1729		52	66025
Steve Whiffen	1416		63	66025
David Hanson	1869		53	66112
Tom Rippeth	2948		90	66112
Mark Isherwood	4182		52	66112
Nigel Williams	5319		85	66112
Andrew Gwynne	3802	GwynneMP	53	65924
Chris Williamson	373	chriswmp	53	66070
John Charlesworth	4585	derbynukipppc	85	66070
Lucy Care	284	lucycare	90	66070
Gaz Pitchford	4731		2269	66070
Amanda Solloway	4183		52	66070
Joe Naitta	3123		90	65863
Chris Fernandez	5344		804	65863
Evonne Williams	4184		52	65863
Andy Botham	4777	Roobotham	53	65799
Benjamin Fearn	4491	libdemben	90	65799
Chris Watts	4318		53	65723
Mark Fletcher	3174		63	65723
Simon Reevell	1609	simonreevell	52	65746
Paula Sherriff	4319	paulasherriff	53	65746
Adrian Cruden	3837		63	65746
Guy Aston	5305	guyastonukip	85	65553
Joe Robinson	4732		2269	65621
Chris Hodgson	5310		85	65621
Peter Kennedy	5227	PeteKennedyGP	63	65672
Kim Parkinson	5116		85	65672
Joylon Trimminham	5152		63	65555
Sarah Smith	4492	SarahDoverDeal	90	65555
David Little	5252		85	65555
Clair Hawkins	4320	ClairHawkins	53	65555
